"Ward_Number","City","Ward_Name","Candidate","Party","Turnout"
17,"Edinburgh","Portobello / Craigmillar","Jane Elizabeth Meagher","Labour and Co-operative Party",43.7
17,"Edinburgh","Portobello / Craigmillar","Alys Mumford","Scottish Green Party",43.7
1,"Perth","Carse of Gowrie","Alasdair Bailey","Scottish Labour Party",56.6
1,"Perth","Carse of Gowrie","Angus Forbes","Scottish Conservative and Unionist",56.6
1,"Perth","Carse of Gowrie","Ken Harvey","Scottish National Party (SNP)",56.6
2,"Perth","Strathmore","Hugh Anderson","Scottish Conservative and Unionist",54.7
2,"Perth","Strathmore","Colin Stewart","Independent",54.7
2,"Perth","Strathmore","Grant Stewart","Scottish National Party (SNP)",54.7
2,"Perth","Strathmore","Jack Welch","Scottish National Party (SNP)",54.7
3,"Perth","Blairgowrie & Glens","Bob Brawn","Scottish Conservative and Unionist",52.2
3,"Perth","Blairgowrie & Glens","Tom McEwen","Scottish National Party (SNP)",52.2
3,"Perth","Blairgowrie & Glens","Caroline Shiers","Scottish Conservative and Unionist",52.2
4,"Perth","Highland","John Duff","Scottish Conservative and Unionist",58.8
4,"Perth","Highland","Xander McDade","Independent",58.8
4,"Perth","Highland","Michael Williamson","Scottish National Party (SNP)",58.8
5,"Perth","Strathtay","Ian James","Scottish Conservative and Unionist",53.3
5,"Perth","Strathtay","Grant Laing","Scottish National Party (SNP)",53.3
5,"Perth","Strathtay","Claire McLaren","Scottish Liberal Democrats",53.3
6,"Perth","Strathearn","Rhona Brock","Independent",52.4
6,"Perth","Strathearn","Stewart Donaldson","Scottish National Party (SNP)",52.4
6,"Perth","Strathearn","Noah Khogali","Scottish Conservative and Unionist",52.4
7,"Perth","Strathallan","Keith Allen","Scottish Conservative and Unionist",51.5
7,"Perth","Strathallan","Steven Carr","Scottish National Party (SNP)",51.5
7,"Perth","Strathallan","Crawford Reid","Scottish Conservative and Unionist",51.5
8,"Perth","Kinross-shire","Dave Cuthbert","Independent",55.1
8,"Perth","Kinross-shire","Neil Freshwater","Scottish Conservative and Unionist",55.1
8,"Perth","Kinross-shire","Willie Robertson","Scottish Liberal Democrats",55.1
8,"Perth","Kinross-shire","Richard Watters","Scottish National Party (SNP)",55.1
9,"Perth","Almond & Earn","Michelle Frampton","Scottish National Party (SNP)",50.2
9,"Perth","Almond & Earn","David Illingworth","Scottish Conservative and Unionist",50.2
9,"Perth","Almond & Earn","Frank Smith","Scottish Conservative and Unionist",50.2
10,"Perth","Perth City South","Liz Barrett","Scottish Liberal Democrats",51.6
10,"Perth","Perth City South","Andy Chan","Scottish Conservative and Unionist",51.6
10,"Perth","Perth City South","Iain Macpherson","Scottish National Party (SNP)",51.6
10,"Perth","Perth City South","Sheila McCole","Scottish National Party (SNP)",51.6
11,"Perth","Perth City North","Brian Leishman","Scottish Labour Party",39.3
11,"Perth","Perth City North","Ian Massie","Scottish National Party (SNP)",39.3
11,"Perth","Perth City North","John Rebbeck","Scottish National Party (SNP)",39.3
12,"Perth","Perth City Centre","Chris Ahern","Scottish Conservative and Unionist",41.8
12,"Perth","Perth City Centre","Peter Anthony Barrett","Scottish Liberal Democrats",41.8
12,"Perth","Perth City Centre","Eric Drysdale","Scottish National Party (SNP)",41.8
12,"Perth","Perth City Centre","Andrew Parrott","Scottish National Party (SNP)",41.8
